file,filetime,mtime,ctime,atime,diff
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_125127.jpg,2019-08-03 12:51:27,2019-08-03 15:56:30,2021-06-16 07:17:20.325442,2022-09-17 21:41:56.806053,3:05:03
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_125118.jpg,2019-08-03 12:51:18,2019-08-03 15:56:27,2021-06-16 07:17:20.025244,2022-09-17 21:41:56.821956,3:05:09
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_123413.jpg,2019-08-03 12:34:13,2019-08-03 15:56:24,2021-06-16 07:17:19.888609,2022-09-17 21:41:56.883969,3:22:11
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_123341.jpg,2019-08-03 12:33:41,2019-08-03 15:56:20,2021-06-16 07:17:18.904242,2022-09-17 21:41:56.945089,3:22:39
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_123336.jpg,2019-08-03 12:33:36,2019-08-03 15:56:17,2021-06-16 07:17:17.817148,2022-09-17 21:41:56.993777,3:22:41
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_123332.jpg,2019-08-03 12:33:32,2019-08-03 15:56:14,2021-06-16 05:32:48.399936,2022-09-17 21:41:57.084859,3:22:42
X:\OneDrive\Pictures\Laura ♥\IMG_20200813_013009.jpg,2020-08-13 01:30:09,2020-08-13 05:05:38,2021-06-16 06:00:09.539196,2022-09-17 21:39:45.870334,3:35:29
X:\OneDrive\Pictures\Laura ♥\IMG_20200813_012401.jpg,2020-08-13 01:24:01,2020-08-13 05:05:08,2021-06-16 03:14:54.446006,2022-09-17 21:39:45.904541,3:41:07
X:\OneDrive\Pictures\Laura ♥\IMG_20200813_012243.jpg,2020-08-13 01:22:43,2020-08-13 05:04:59,2021-06-16 05:59:59.303566,2022-09-17 21:39:45.924529,3:42:16
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_120457.jpg,2019-08-03 12:04:57,2019-08-03 15:56:10,2021-06-16 05:32:48.613364,2022-09-17 21:41:57.108421,3:51:13
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_120448.jpg,2019-08-03 12:04:48,2019-08-03 15:56:07,2021-06-16 05:32:49.312492,2022-09-17 21:41:57.127956,3:51:19
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_120246.jpg,2019-08-03 12:02:46,2019-08-03 15:56:04,2021-06-16 05:32:51.317132,2022-09-17 21:41:57.144014,3:53:18
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_120001.jpg,2019-08-03 12:00:01,2019-08-03 15:56:01,2021-06-16 05:32:54.918501,2022-09-17 21:41:57.165627,3:56:00
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115948.jpg,2019-08-03 11:59:48,2019-08-03 15:55:54,2021-06-16 05:32:55.462049,2022-09-17 21:41:57.202595,3:56:06
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115951.jpg,2019-08-03 11:59:51,2019-08-03 15:55:57,2021-06-16 05:32:55.235653,2022-09-17 21:41:57.186338,3:56:06
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115944.jpg,2019-08-03 11:59:44,2019-08-03 15:55:51,2021-06-16 05:32:56.408517,2022-09-17 21:41:57.224541,3:56:07
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115556.jpg,2019-08-03 11:55:56,2019-08-03 15:55:45,2021-06-16 05:32:36.457865,2022-09-17 21:41:57.259900,3:59:49
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115548.jpg,2019-08-03 11:55:48,2019-08-03 15:55:40,2021-06-16 07:17:16.033916,2022-09-17 21:41:57.310176,3:59:52
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115549.jpg,2019-08-03 11:55:49,2019-08-03 15:55:42,2021-06-16 07:17:17.272604,2022-09-17 21:41:57.287121,3:59:53
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115556_1.jpg,2019-08-03 11:55:56,2019-08-03 15:55:49,2021-06-16 05:32:35.700911,2022-09-17 21:41:57.240373,3:59:53
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115540.jpg,2019-08-03 11:55:40,2019-08-03 15:55:35,2021-06-16 07:17:15.748680,2022-09-17 21:41:57.368211,3:59:55
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115538.jpg,2019-08-03 11:55:38,2019-08-03 15:55:33,2021-06-16 07:17:15.628002,2022-09-17 21:41:57.392186,3:59:55
